Country,City,PO/ORDER#,Categories,SKU,QTY ORD,CHANNEL,WAREHOUSE,Pick-Up / Delivery,Customer,SALES $,EXPECTED
United States,NEW YORK CITY,102981,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45236
United States,NEW YORK CITY,102980,Organic Beauty,OY2545,52,Retail,Kern,Delivery,Customer1,6500,45274
United States,Los Angeles,102979,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45272
United States,Los Angeles,102978,Healthy Beverage,HB1016,3,Retail,Kern,Delivery,Customer1,375,45206
United States,Los Angeles,102977,Healthy,HT1064,90,Retail,Kern,Delivery,Customer1,11250,45213
United States,Los Angeles,102976,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45208
United States,NEW YORK CITY,102975,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45218
United States,NEW YORK CITY,102974,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45280
United States,Chicago,102973,Organic Beauty,OY2545,15,Retail,Kern,Delivery,Customer1,1875,45201
United States,Chicago,102972,Healthy Beverage,HB1016,12,Retail,Kern,Delivery,Customer1,1500,45235
United States,Houston,102971,Organic Beauty,OY2545,9,Retail,Kern,Delivery,Customer1,1125,45267
United States,Houston,102970,Healthy Beverage,HB1016,23,Retail,Kern,Delivery,Customer1,2875,45207
United States,Houston,102969,Fresh Packaged,FP2020,3,Retail,Kern,Delivery,Customer1,375,45217
United States,Phoenix,102968,Healthy Beverage,HB1016,11,Retail,Kern,Delivery,Customer1,1375,45242
United States,NEW YORK CITY,102967,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45222
United States,Los Angeles,102966,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45281
United States,Los Angeles,102965,Healthy Beverage,HB1016,1,Retail,Kern,Delivery,Customer1,125,45281
United States,Los Angeles,102964,Healthy,HT1064,80,Retail,Kern,Delivery,Customer1,10000,45236
United States,Houston,102963,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45211
United States,Houston,102962,Healthy Beverage,HB1016,13,Retail,Kern,Delivery,Customer1,1625,45266
United States,Houston,102961,Organic Beauty,OY2545,12,Retail,Kern,Delivery,Customer1,1500,45264
United States,Chicago,102960,Organic Beauty,OY2545,4,Retail,Kern,Delivery,Customer1,500,45213
United States,Chicago,102959,Healthy Beverage,HB1016,12,Retail,Kern,Delivery,Customer1,1500,45249
United States,Philadelphia,102958,Healthy,HT1064,30,Retail,Kern,Delivery,Customer1,3750,45222
United States,Philadelphia,102957,Healthy Beverage,HB1016,9,Retail,Kern,Delivery,Customer1,1125,45249
United States,Houston,102956,Fresh Packaged,FP2020,11,Retail,Kern,Delivery,Customer1,1375,45238
United States,Houston,102955,Organic Beauty,OY2545,3,Retail,Kern,Delivery,Customer1,375,45262
United States,Houston,102954,Healthy Beverage,HB1016,7,Retail,Kern,Delivery,Customer1,875,45284
United States,NEW YORK CITY,102953,Organic Beauty,OY2545,104,Retail,Kern,Delivery,Customer1,13000,45204
United States,NEW YORK CITY,102952,Fresh Packaged,FP2020,52,Retail,Kern,Delivery,Customer1,6500,45257
United States,NEW YORK CITY,102951,Healthy Beverage,HB1016,52,Retail,Kern,Delivery,Customer1,6500,45213
United States,Chicago,102950,Organic Beauty,OY2545,17,Retail,Kern,Delivery,Customer1,2125,45236
United States,Los Angeles,102949,Healthy,HT2054,70,Retail,Kern,Delivery,Customer1,8750,45283
United States,Los Angeles,102948,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45207
United States,Los Angeles,102947,Healthy,HT1064,70,Retail,Kern,Delivery,Customer1,8750,45276
United States,Chicago,102946,Healthy,HT2054,30,Retail,Kern,Delivery,Customer1,3750,45289
United States,Chicago,102945,Healthy Beverage,HB1016,27,Retail,Kern,Delivery,Customer1,3375,45214
United States,Houston,102944,Healthy Beverage,HB1016,8,Retail,Kern,Delivery,Customer1,1000,45257
United States,Houston,102943,Healthy,HT2054,30,Retail,Kern,Delivery,Customer1,3750,45236
